id,total,date,title
5136,337,1779-01-05,Légataire universel (Le)
4857,1962,1779-01-10,Amphitryon
5090,1210,1779-01-13,Comte de Warwick (Le)
5073,1722,1779-01-22,Bourgeois gentilhomme (Le)
5300,1493,1780-01-23,Ruses d'Amour (Les)
5155,1669,1780-01-30,Médecin malgré lui (Le) / Le Médecin forcé (titre alt.)
5445,1156,1780-01-31,Zelmire
4997,585,1779-01-28,Gouvernante (La)
5426,2339,1779-02-01,Tancrède
5134,763,1779-02-04,Joueur (Le)
5075,2733,1779-02-08,Café ou l'Écossaise (Le) ou L'Écossaire ou le Café
4979,1226,1779-02-12,Fausse Agnès ou le Poète campagnard (La)
5433,2569,1778-01-25,Turcaret
4958,990,1780-01-21,"Jodelet, ou le Maître valet"
5427,1247,1780-01-02,Tartuffe ou l'Imposteur
5322,657,1779-01-15,Homme à bonnes fortunes (L') / L'Homme à bonne fortune (titre alt).
4894,1158,1780-01-12,Cinna ou la Clémence d'Auguste
5350,2420,1780-01-01,Orphelin de la Chine (L')
4836,1297,1780-01-17,Adélaïde du Guesclin
5226,574,1778-01-29,Enfant prodigue ou L'École de la jeunesse (L')
4836,2743,1778-01-24,Adélaïde du Guesclin
5349,580,1780-01-14,Orphelin anglais (L')
5386,2118,1779-01-16,Œdipe chez Admète
5370,1701,1780-01-15,Mérope
4922,2287,1778-01-31,Électre
4849,2719,1779-03-06,Alzire ou les Américains
5134,887,1779-01-08,Joueur (Le)
5386,1738,1779-01-18,Œdipe chez Admète
5386,1729,1779-01-25,Œdipe chez Admète
5377,2606,1778-01-03,Mustapha et Zéangir
5386,2758,1779-02-06,Œdipe chez Admète
5276,487,1778-01-13,Femmes savantes (Les)
5386,1823,1779-01-04,Œdipe chez Admète
5386,1968,1779-01-09,Œdipe chez Admète
5086,1956,1780-01-03,Cid (Le)
4934,1794,1779-01-06,Gustave Wasa
5077,1911,1778-01-11,Célibataire (Le)
5073,1771,1779-01-17,Bourgeois gentilhomme (Le)
5136,362,1780-01-04,Légataire universel (Le)
4857,1367,1780-01-09,Amphitryon
5226,656,1780-01-13,Enfant prodigue ou L'École de la jeunesse (L')
5010,807,1778-01-22,Métromanie ou le Poète (La)
5377,1428,1778-01-07,Mustapha et Zéangir
5177,564,1778-01-09,Préjugé à la mode (Le)
5356,2651,1778-01-19,Fanatisme ou Mahomet le prophète (Le)
4858,2434,1780-02-05,Andromaque
4945,1690,1778-01-28,Hypermnestre
5421,1951,1780-02-09,Sertorius
4951,1299,1778-01-26,Iphigénie en Tauride
4970,641,1778-01-30,Coquette corrigée (La)
5117,1385,1779-01-03,Festin de Pierre (Le)
5010,534,1779-01-07,Métromanie ou le Poète (La)
4930,2198,1779-01-20,Gabrielle de Vergy
5377,2413,1778-01-17,Mustapha et Zéangir
5386,2204,1779-01-30,Œdipe chez Admète
5427,1034,1778-01-27,Tartuffe ou l'Imposteur
4926,940,1777-06-05,Ésope à la cour
5433,1691,1779-01-01,Turcaret
5103,729,1778-02-19,Dépit amoureux (Le)
4886,1801,1778-02-18,Brutus
5323,1247,1778-03-07,Homme personnel (L')
5426,2421,1779-02-19,Tancrède
5059,2447,1778-03-29,Avare (L')
5158,778,1779-02-18,Menteur (Le)
4952,2965,1778-03-30,Irène
5284,935,1778-03-31,Ménechmes ou les Jumeaux (Les)
5255,597,1778-04-28,Dehors trompeurs ou l'Homme du jour (Les)
5073,2160,1778-03-15,Bourgeois gentilhomme (Le)
5073,2863,1778-03-01,Bourgeois gentilhomme (Le)
5323,1797,1778-02-25,Homme personnel (L')
5217,1123,1778-02-27,École des femmes (L')
4926,1235,1778-03-06,Ésope à la cour
5323,1052,1778-03-09,Homme personnel (L')
5323,776,1778-03-11,Homme personnel (L')
5219,920,1778-03-13,École des mères (L')
5276,627,1779-02-25,Femmes savantes (Les)
5323,2484,1778-03-03,Homme personnel (L')
5086,1614,1778-02-09,Cid (Le)
5377,2009,1778-02-11,Mustapha et Zéangir
5377,1777,1778-02-14,Mustapha et Zéangir
5323,2756,1778-02-21,Homme personnel (L')
5370,2324,1779-03-10,Mérope
5426,1647,1779-03-15,Tancrède
5126,846,1779-03-12,Glorieux (Le)
5075,2510,1779-02-15,Café ou l'Écossaise (Le) ou L'Écossaire ou le Café
4985,359,1779-02-23,Femme juge et partie (La) / Femme juge (La) (titre alt.)
5396,3432,1770-04-23,Phèdre et Hippolyte ou Phèdre
5218,3432,1770-04-23,École des maris (L')
5106,927,1778-02-13,Distrait (Le)
5433,1124,1779-03-05,Turcaret
5356,2453,1779-03-03,Fanatisme ou Mahomet le prophète (Le)
4952,2891,1778-03-21,Irène
5276,529,1779-03-04,Femmes savantes (Les)
5075,2135,1778-02-15,Café ou l'Écossaise (Le) ou L'Écossaire ou le Café
5126,671,1769-04-05,Glorieux (Le)
5441,2606,1777-04-09,Zaïre
5323,1764,1778-02-23,Homme personnel (L')
4952,2882,1778-03-18,Irène
5140,2557,1779-02-14,Malade imaginaire (Le)
5140,2090,1779-02-16,Malade imaginaire (Le)
